month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202304,Texas,TX,384900,0.0333,0.0406,68873,0.0044,0.9714,49,-0.0926,0.5313,39564,0.0762,-0.0847,2500,0.0841,-0.3154,24388,0.0681,1.3929,40171,0.0923,-0.2208,188,0.0162,0.039,2043,0.0121,0.0094,547934,0.0418,0.0043,108794,0.0351,0.2594,0.5833,0.047,-0.8925,0
202304,Kansas,KS,314825,-0.0006,0.2598,4221,0.0295,0.4785,54,-0.1756,0.3846,3568,0.1675,-0.2175,176,-0.2212,-0.443,1140,0.2867,0.6011,4518,0.176,-0.2214,153,-0.0104,0.1846,2098,0.005,0.1048,413882,0.015,0.2267,8732,0.1008,0.0097,1.0704,0.1333,-0.9622,0
202304,North Dakota,ND,332060,0.0102,0.1072,1427,-0.0243,0.148,69,-0.1329,0.4891,800,0.4337,-0.1837,52,-0.1613,-0.1875,224,0.0874,0.1429,732,0.0901,-0.3528,153,0.0044,0.1027,2118,0.0027,0.0009,375367,0.0034,0.0951,2170,0.0224,-0.0848,0.513,0.0538,-0.3969,0
202304,Washington,WA,649000,0.0318,0.0156,8557,0.0404,0.5468,37,-0.1685,0.6087,7728,0.0674,-0.2802,280,0.1024,-0.6916,2260,-0.0599,0.378,8260,0.1066,-0.3133,324,0.0214,-0.0237,2048,0.0034,0.0449,934768,0.0612,0.0509,16797,0.0739,-0.0444,0.9653,0.0578,-1.209,1
202304,Nevada,NV,475000,0.027,-0.05,8086,-0.0689,0.4941,51,-0.113,1.04,4152,0.109,-0.3085,188,0.0682,-0.4051,2176,-0.1226,0.6047,2032,0.0201,0.2482,255,0.0053,-0.0542,1910,0.0217,-0.0037,795585,0.0378,-0.038,9286,-0.0533,0.3194,0.2513,0.0219,-0.0495,1
202304,Virginia,VA,449000,0.0505,0.0819,10464,0.0266,0.1645,36,-0.1628,0.2857,10432,0.1295,-0.2808,516,-0.0337,-0.3211,2332,-0.0324,0.2146,10574,0.1103,-0.2935,214,0.0189,0.044,2061,0.02,0.0534,655933,0.0273,0.0815,21159,0.0778,-0.1125,1.0105,0.0762,-0.655,0
202304,Missouri,MO,300000,0.0075,0.1115,10036,-0.004,0.3524,50,-0.1453,0.4286,7752,0.1052,-0.2242,412,0.2485,-0.2197,2840,0.0645,0.6063,9321,0.1031,-0.2403,163,0.0064,0.0821,1805,0.0028,0.032,393617,0.0217,0.0904,19293,0.0446,-0.0134,0.9288,0.0902,-0.7245,0
202304,California,CA,750000,0.0388,-0.0132,33493,-0.0382,0.1357,44,-0.0638,0.5714,28384,0.1616,-0.341,1464,0.1675,-0.4326,8460,-0.0518,0.0902,27804,0.0746,-0.2916,452,0.0404,-0.0157,1805,0.0172,0.0256,1587293,0.0529,0.0571,60941,0.0081,-0.1167,0.8301,0.0871,-0.5006,0
202304,Vermont,VT,447250,0.0223,0.1209,800,-0.0087,-0.0303,68,-0.2708,0.5814,552,0.2105,-0.262,4,-0.5,0,112,0.1915,-0.0345,440,-0.033,-0.2892,241,0.0293,0.118,1898,-0.0335,-0.0156,746911,-0.0092,0.179,1238,-0.0202,-0.1468,0.55,-0.0138,-0.2003,0
202304,Tennessee,TN,444900,0.0469,0.1153,15627,0.0031,1.0382,43,-0.0947,0.7917,10280,0.0715,-0.1256,452,0.0865,0.0865,5824,0.0833,1.3987,9521,0.0658,-0.2128,225,0.0262,0.0691,2106,0.0123,0.053,636932,0.05,0.0608,25148,0.029,0.2729,0.6093,0.0358,-0.9681,0
202304,Pennsylvania,PA,290000,0.0359,0.0265,16177,0.0209,0.1667,47,-0.1966,0.2703,12960,0.139,-0.1998,592,-0.2816,-0.4104,4892,0.0915,0.2674,15143,0.1098,-0.2615,176,0.0199,0.0237,1696,0.0095,0.0036,435273,0.021,0.0275,31271,0.0609,-0.0774,0.9361,0.075,-0.5427,0
202304,District of Columbia,DC,649999,0.0191,0.1208,1709,0.0903,0.1026,37,-0.039,0.0278,1008,0.002,-0.2174,32,0.3333,0.3333,500,0.2755,0.0417,951,0.0893,-0.241,533,0.0001,-0.0477,1355,0.0224,0.2729,991043,0.0409,0.0604,2657,0.0838,-0.0524,0.5565,-0.0005,-0.2519,0
202304,Oregon,OR,569900,0.0315,0.0362,7481,0.0365,0.4926,47,-0.1532,0.5667,5132,0.1669,-0.2739,224,0.0182,-0.9172,2132,0.09,-0.055,5503,0.118,-0.3643,304,0.0059,-0.0189,1892,0.0096,0.039,764276,0.0122,0.023,12950,0.068,-0.0595,0.7356,0.0536,-0.9917,0
202304,New Jersey,NJ,518000,0.0475,0.1285,11704,0.0187,-0.0921,37,-0.1084,0.4231,9316,0.1405,-0.2785,280,0.037,-0.4167,1956,0.0505,0.0654,11661,0.0884,-0.2429,276,0.027,0.0246,1724,0.0153,0.0538,854870,0.0449,0.1726,23164,0.0526,-0.1733,0.9963,0.0638,-0.1985,0
202304,Wisconsin,WI,374900,0.0135,0.1535,6875,0.0557,-0.0635,38,-0.1556,0.2667,5404,0.2544,-0.2565,96,0.0909,-0.5472,1036,0.0381,0.0039,4754,0.1601,-0.0964,196,0.0022,0.1034,1805,0.0198,0.0338,467091,0.0136,0.137,11577,0.0955,-0.065,0.6915,0.0622,-0.0252,0
202304,Arizona,AZ,495000,0.0313,-0.008,15450,-0.0861,1.0096,52,-0.0189,0.9259,9852,0.0235,-0.2514,672,0.2679,-0.2294,7036,-0.1463,1.1451,12204,0.076,-0.2116,265,0.0098,-0.0287,1956,0.0166,0.0209,801232,0.0391,0.0205,27402,-0.0307,0.1726,0.7899,0.119,-1.2235,1
202304,Hawaii,HI,852500,0.02,0.0333,3142,-0.1973,0.3715,73,0.0504,0.5368,1324,0.0508,-0.2972,44,-0.0435,-0.4211,628,-0.0792,0.5392,1847,0.6677,-0.3649,700,0.0518,0.0198,1251,0.013,0.0425,1716868,0.107,-0.0013,5002,-0.0016,-0.0407,0.5878,0.3049,-0.6815,0
202304,Kentucky,KY,299950,0.017,0.1537,5825,-0.0265,0.3836,52,-0.0957,0.3333,4456,0.142,-0.0724,156,0.1818,-0.4348,1696,-0.0035,0.346,5778,0.0811,-0.2159,158,0.0151,0.102,1910,0.0058,0.0608,385772,0.0325,0.0725,11576,0.0241,0.0009,0.9919,0.0987,-0.7584,0
202304,Idaho,ID,574900,0.0276,-0.0402,5084,0.0201,0.7441,49,-0.1404,0.8148,3052,0.1508,-0.2118,176,0.2222,-0.2414,1516,0.0691,0.2032,3026,0.0127,-0.366,271,0.0219,-0.0755,2208,0.0073,0.0124,850304,0.02,-0.0559,8095,0.0142,0.0487,0.5952,-0.0043,-1.0422,1
202304,Montana,MT,660000,0.0154,0.0776,2828,0.0367,0.6675,79,-0.244,0.6122,1444,0.3395,-0.1644,32,0.7778,-0.2,596,0.3128,0.8171,1694,0.1603,-0.2788,320,0.0066,0.0235,2162,0.0026,0.0546,1217886,-0.012,0.0802,4502,0.0803,0.1144,0.599,0.0638,-0.786,0
202304,Arkansas,AR,289900,0.0172,0.1619,6719,0.0061,0.6574,59,-0.0781,0.5128,3760,0.0688,-0.1352,196,0.0208,0.5806,1684,-0.0164,0.8304,4433,0.0974,-0.2189,149,0.0086,0.1701,1908,0.0042,0.0308,443406,0.0092,0.198,11081,0.039,0.1543,0.6598,0.0549,-0.7401,0
202304,Delaware,DE,494900,0.0311,0.0871,1691,0.0018,0.2554,64,-0.0154,0.4382,1228,0.0496,-0.2382,128,-0.0448,-0.619,436,0.0583,0.3133,1976,0.0419,-0.2599,227,0.0123,0.0646,2180,0.0067,0.014,610255,0.0261,0.056,3675,0.0307,-0.0953,1.1685,0.045,-0.8136,0
202304,Colorado,CO,639925,0.0263,0.0158,12185,0.077,0.6506,43,-0.181,0.9545,9524,0.1755,-0.2339,356,0.1867,-0.2823,3952,0.1644,1.0163,8736,0.128,-0.2211,287,0.0049,0.0123,2214,0.0226,0.0385,1266109,-0.0223,-0.0016,20809,0.0984,0.131,0.7169,0.0324,-0.8024,0
quality_flag = 1:  year-over-year figures may be impacted, please contact economics@realtor.com for more details.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
